State,Year,Month,2W,CV,Passenger Vehicles,Tractors
Andhra Pradesh(84),2021,2021,0,725,13396,14981
Andhra Pradesh(84),2021,APR,68276,3792,10002,1567
Andhra Pradesh(84),2021,AUG,0,531,336,0
Andhra Pradesh(84),2021,JAN,0,18,2,14981
Andhra Pradesh(84),2021,JUL,0,42,275,1271
Andhra Pradesh(84),2021,JUN,0,53,904,0
Andhra Pradesh(84),2021,MAY,0,926,928,0
Andhra Pradesh(84),2021,NOV,0,645,0,0
Andhra Pradesh(84),2021,OCT,0,1,0,0
Andhra Pradesh(84),2021,SEP,2,1836,639,801
Andhra Pradesh(84),2022,2021,3,1071,333,970
Andhra Pradesh(84),2023,APR,0,3623,2693,1079
Andhra Pradesh(84),2023,AUG,0,3044,3520,651
Andhra Pradesh(84),2023,DEC,1439,3815,4446,747
Andhra Pradesh(84),2023,FEB,0,27,0,0
Andhra Pradesh(84),2023,JAN,0,3348,6883,8279
Andhra Pradesh(84),2023,JUN,13,3570,3736,537
Andhra Pradesh(84),2023,MAR,0,3348,6883,8279
Andhra Pradesh(84),2023,MAY,0,3174,699,898
Andhra Pradesh(84),2023,NOV,0,550,0,0
Andhra Pradesh(84),2023,OCT,0,2106,0,0
Andhra Pradesh(84),2024,2024,0,7564,31972,0
Andhra Pradesh(84),2024,APR,0,1259,2962,440
Andhra Pradesh(84),2024,AUG,0,3874,3630,686
Andhra Pradesh(84),2024,DEC,21,1959,4786,646
Andhra Pradesh(84),2024,JAN,0,34030,38773,6638
Andhra Pradesh(84),2024,JUL,0,3627,2530,382
Andhra Pradesh(84),2024,JUN,0,3419,91,517
Andhra Pradesh(84),2024,MAR,53740,3563,11173,440
Andhra Pradesh(84),2024,MAY,0,3584,693,517
Andhra Pradesh(84),2024,NOV,49,2543,2219,538
Andhra Pradesh(84),2024,OCT,48658,3175,8483,2340
Andhra Pradesh(84),2024,SEP,48658,3175,8483,2340
Andhra Pradesh(84),2025,APR,20,668,2685,0
Andhra Pradesh(84),2025,FEB,89,3417,2672,548
Andhra Pradesh(84),2025,JAN,1,29752,27301,4292
Andhra Pradesh(84),2025,JUL,0,3739,3043,615
Andhra Pradesh(84),2025,JUN,0,3720,2584,615
Andhra Pradesh(84),2025,MAR,56654,3829,3265,454
Arunachal Pradesh(29),2021,2021,0,1536,146,313
Arunachal Pradesh(29),2021,APR,0,203,11,0
Arunachal Pradesh(29),2021,AUG,0,108,19,10
Arunachal Pradesh(29),2021,DEC,1040,210,728,20
Arunachal Pradesh(29),2021,FEB,0,1992,147,313
Arunachal Pradesh(29),2021,JAN,12786,2182,8184,318
Arunachal Pradesh(29),2021,JUL,0,165,735,44
Arunachal Pradesh(29),2021,JUN,1257,165,736,44
Arunachal Pradesh(29),2021,MAR,1028,212,677,29
Arunachal Pradesh(29),2021,NOV,0,0,8,0
Arunachal Pradesh(29),2021,OCT,0,0,8,0
Arunachal Pradesh(29),2021,SEP,0,145,24,36
Arunachal Pradesh(29),2022,2022,0,1884,2,454
Arunachal Pradesh(29),2022,APR,859,216,684,18
Arunachal Pradesh(29),2022,AUG,1,241,25,62
Arunachal Pradesh(29),2022,DEC,1249,258,994,26
Arunachal Pradesh(29),2022,FEB,0,140,6,19
Arunachal Pradesh(29),2022,JAN,0,2228,90,454
Arunachal Pradesh(29),2022,JUL,0,235,2,0
Arunachal Pradesh(29),2022,JUN,1241,242,996,68
Arunachal Pradesh(29),2022,MAR,3,215,17,18
Arunachal Pradesh(29),2022,MAY,1,235,9,30
Arunachal Pradesh(29),2022,NOV,0,82,8,0
Arunachal Pradesh(29),2022,SEP,1,239,23,62
Arunachal Pradesh(29),2023,2023,0,954,157,0
Arunachal Pradesh(29),2023,APR,0,185,39,21
Arunachal Pradesh(29),2023,AUG,0,24,11,0
Arunachal Pradesh(29),2023,DEC,0,231,21,59
Arunachal Pradesh(29),2023,FEB,0,994,159,0
Arunachal Pradesh(29),2023,JUL,0,234,1126,59
Arunachal Pradesh(29),2023,JUN,0,153,3,0
Arunachal Pradesh(29),2023,MAR,0,2867,325,842
Arunachal Pradesh(29),2023,MAY,0,227,3,0
Arunachal Pradesh(29),2023,NOV,0,109,5,0
Arunachal Pradesh(29),2023,OCT,0,147,16,0
Arunachal Pradesh(29),2024,2024,0,418,0,0
